"county","year","population.estimate","population.quintile","state.frac","state.frac.quintile","pop.per.chg","pop.per.chg.quintile"
"Colusa",2007,21006,1,0.000577093048850215,1,1.33629215109267,3
"Colusa",2008,21145,1,0.000576089362644099,1,0.661715700276112,2
"Colusa",2009,21221,1,0.000574056990135964,1,0.359423031449515,1
"Colusa",2010,21380,1,0.00057436217054097,1,0.749257810659253,2
"Colusa",2011,21521,1,0.000573330170218134,1,0.659494855004677,2
"Colusa",2012,21597,1,0.00057012213158045,1,0.353143441289903,1
"Colusa",2013,21700,1,0.000567480387341714,1,0.476918090475529,1
"Colusa",2014,21784,1,0.000564828499590808,1,0.387096774193548,1
"Colusa",2015,21873,1,0.000562177476599584,1,0.408556738890929,1
"Colusa",2016,21948,1,0.000559100912339687,1,0.342888492662186,1
"Contra Costa",1981,662900,5,0.0275760222971005,5,NA,NA
"Contra Costa",1982,672900,5,0.0274127184584674,5,1.50852315583044,3
"Contra Costa",1983,684300,5,0.0272890413144042,5,1.6941596076683,4
"Contra Costa",1984,694100,5,0.0271270567084848,5,1.43212041502265,3
"Contra Costa",1985,704600,5,0.0269827289089725,5,1.51275032416078,3
"Contra Costa",1986,718500,5,0.0268678483284721,5,1.97275049673574,4
"Contra Costa",1987,733400,5,0.0267781510150431,5,2.07376478775226,5
"Contra Costa",1988,750900,5,0.0267595595310217,5,2.3861467139351,5
"Contra Costa",1989,772900,5,0.026863855966077,5,2.92981755227061,5
"Contra Costa",1990,797600,5,0.0269842343866297,5,3.19575624272222,5
"Contra Costa",1991,814985,5,0.0270367911150493,5,2.17966399197593,5
"Contra Costa",1992,832229,5,0.0270881441973859,5,2.11586716319932,5
"Contra Costa",1993,848587,5,0.0272412708944166,5,1.96556476642847,4
"Contra Costa",1994,860963,5,0.0274026749470224,5,1.45842441611762,3
"Contra Costa",1995,869176,5,0.027490110782639,5,0.953931818208216,1
"Contra Costa",1996,878070,5,0.027579828364748,5,1.02326801476341,2
"Contra Costa",1997,892630,5,0.0277146556948552,5,1.65818214948694,4
"Contra Costa",1998,910831,5,0.0278900860579517,5,2.03903072941756,5
"Contra Costa",1999,928482,5,0.0280163065608824,5,1.93790066433839,4
"Contra Costa",2000,944953,5,0.0280222016860834,5,1.7739708470385,4
"Contra Costa",2001,962076,5,0.0280842433889528,5,1.8120477949697,4
"Contra Costa",2002,974657,5,0.028067459098376,5,1.30769294733472,3
"Contra Costa",2003,984256,5,0.0279907560114208,5,0.984859288960116,1
"Contra Costa",2004,993958,5,0.0279430512295645,5,0.98571916249431,1
"Contra Costa",2005,1001216,5,0.0279129937007469,5,0.730211940544771,1
"Contra Costa",2006,1007169,5,0.0278869023935573,5,0.59457699437484,1
"Contra Costa",2007,1015672,5,0.027903325293335,5,0.844247589034214,1
"Contra Costa",2008,1027264,5,0.0279875083011221,5,1.14131333737663,2
"Contra Costa",2009,1038390,5,0.0280898656042262,5,1.08307114821506,2
"Contra Costa",2010,1047948,5,0.028152557899629,5,0.920463409701557,1
"Contra Costa",2011,1059495,5,0.028225475056701,5,1.10186764992156,2
"Contra Costa",2012,1069977,5,0.0282454770561678,5,0.989339260685515,2
"Contra Costa",2013,1083340,5,0.0283306084250126,5,1.24890535030192,2
"Contra Costa",2014,1097172,5,0.0284481277337976,5,1.27679214281758,3
"Contra Costa",2015,1111143,5,0.0285584770210438,5,1.27336461375245,3
"Contra Costa",2016,1123429,5,0.0286181054696948,5,1.10570826617276,2
"Del Norte",1981,18600,1,0.000773742668164233,1,NA,NA
"Del Norte",1982,18800,1,0.000765877703996415,1,1.0752688172043,4
"Del Norte",1983,18800,1,0.000749720848620195,1,0,2
"Del Norte",1984,18850,1,0.000736702231601985,1,0.265957446808511,3
"Del Norte",1985,18950,1,0.00072569218396967,1,0.530503978779841,3
"Del Norte",1986,19300,1,0.000721711165956174,1,1.84696569920844,5
"Del Norte",1987,19750,1,0.000721118738133489,1,2.33160621761658,5
"Del Norte",1988,20450,1,0.000728769466519368,1,3.54430379746835,5
"Del Norte",1989,20600,1,0.000715998748740051,1,0.733496332518337,4
"Del Norte",1990,21650,1,0.00073245821774139,1,5.09708737864078,5
"Del Norte",1991,25488,1,0.000845553883740654,1,17.7274826789838,5
"Del Norte",1992,26915,1,0.000876053827819798,1,5.59871311989956,5
"Del Norte",1993,27427,1,0.000880459324525551,1,1.90228497120565,5
"Del Norte",1994,27707,1,0.000881856612603735,1,1.0208918219273,4
"Del Norte",1995,27843,1,0.000880612389804847,1,0.490850687551882,3
"Del Norte",1996,27823,1,0.000873909329088095,1,-0.071831340013648,2
"Del Norte",1997,28214,1,0.000875997104931096,1,1.40531215181684,4
"Del Norte",1998,28309,1,0.000866835281423835,1,0.336712270504005,3
"Del Norte",1999,27742,1,0.000837095793577041,1,-2.00289660531986,1
"Del Norte",2000,27509,1,0.000815768346343646,1,-0.839881767716819,1
"Del Norte",2001,27434,1,0.000800833960240699,1,-0.272638045730488,2
"Del Norte",2002,27517,1,0.00079241443093315,1,0.302544288109645,3
"Del Norte",2003,27744,1,0.000788997511603544,1,0.824944579714358,4
"Del Norte",2004,28029,1,0.000787976738366674,1,1.0272491349481,4
"Del Norte",2005,28251,1,0.000787612248545569,1,0.792036819008884,4
"Del Norte",2006,28296,1,0.000783471085913187,1,0.159286396941701,2
"Del Norte",2007,28378,1,0.000779622324110797,1,0.289793610404297,3
"Del Norte",2008,28526,1,0.00077718255657534,1,0.52153076326732,3
"Del Norte",2009,28565,1,0.000772722205514999,1,0.13671738063521,2
"Del Norte",2010,28581,1,0.000767813152302687,1,0.056012602835638,2
"Del Norte",2011,28235,1,0.000752194477770968,1,-1.21059445085896,1
"Del Norte",2012,28066,1,0.000740892149138163,1,-0.598547901540641,1
"Del Norte",2013,27644,1,0.000722922941367482,1,-1.50359866030072,1
"Del Norte",2014,27189,1,0.000704972552119651,1,-1.6459267833888,1
"Del Norte",2015,26762,1,0.00068783402499694,1,-1.5704880650263,1
"Del Norte",2016,26811,1,0.000682980433786192,1,0.183095433824079,2
"El Dorado",1981,87900,3,0.00365655809309871,3,NA,NA
"El Dorado",1982,90900,3,0.00370310017517416,3,3.41296928327645,4
"El Dorado",1983,92800,3,0.00370074972084862,3,2.09020902090209,4
"El Dorado",1984,94200,3,0.00368155704068472,3,1.50862068965517,2
"El Dorado",1985,97200,3,0.00372228391988665,3,3.18471337579618,4
"El Dorado",1986,100900,3,0.0037730910178745,3,3.80658436213992,5
"El Dorado",1987,105200,3,0.00384109829122243,3,4.26164519326065,5
"El Dorado",1988,110800,3,0.00394854067923452,3,5.32319391634981,5
"El Dorado",1989,116800,3,0.00405964339091446,3,5.41516245487365,5
"El Dorado",1990,123900,3,0.00419175857635835,3,6.07876712328767,5
"El Dorado",1991,130181,3,0.00431870096277629,3,5.06941081517353,5
"El Dorado",1992,134898,3,0.00439078243601096,3,3.62341662761847,5
"El Dorado",1993,138788,3,0.00445536109425939,3,2.88366024700144,4
"El Dorado",1994,141843,3,0.00451456987409505,3,2.20119895091795,4
"El Dorado",1995,143863,3,0.00455006788903835,3,1.42410975515182,2
"El Dorado",1996,145949,3,0.00458419985878872,3,1.44999061607224,2
"El Dorado",1997,148373,3,0.00460673135499899,3,1.66085413397831,3
"El Dorado",1998,150857,3,0.0046193143540837,3,1.67415904510929,3
"El Dorado",1999,153232,3,0.00462367034249143,3,1.57433861206308,3
"El Dorado",2000,155702,3,0.0046172802741793,3,1.61193484389684,3
"El Dorado",2001,160079,3,0.00467291315598785,3,2.81113922749868,4
"El Dorado",2002,163300,3,0.00470259390817979,3,2.0121315100669,4
"El Dorado",2003,166195,3,0.00472633511537453,3,1.77281077770974,3
"El Dorado",2004,168984,3,0.00475063188683699,3,1.67814916212882,3
"El Dorado",2005,171739,3,0.00478792750532609,3,1.63033186573877,3
"El Dorado",2006,174218,3,0.0048238184070407,3,1.44346945073629,2
"El Dorado",2007,176226,3,0.00484141672030268,3,1.15257895280625,2
"El Dorado",2008,177897,3,0.00484675191990056,3,0.948214224915733,2
"El Dorado",2009,179150,3,0.00484625181578898,3,0.704340151885642,1
"El Dorado",2010,180682,3,0.00485392449474666,3,0.855149316215462,2
"El Dorado",2011,181170,3,0.00482645913007849,3,0.270087778528022,1
"El Dorado",2012,180952,3,0.00477680881389756,3,-0.120328972787989,1
"El Dorado",2013,180588,3,0.0047225874741597,3,-0.201158318228038,1
"El Dorado",2014,181731,3,0.0047120293820757,3,0.632932420758854,1
"El Dorado",2015,182743,3,0.00469684079030027,3,0.556867017735004,1
"El Dorado",2016,183750,3,0.00468082707501446,3,0.551047098931286,1
"Fresno",1981,523200,4,0.0217646324722326,4,NA,NA
"Fresno",1982,535500,4,0.0218152931111745,4,2.35091743119266,4
"Fresno",1983,548900,4,0.0218894560535971,4,2.50233426704015,4
"Fresno",1984,563700,4,0.0220307187243522,4,2.69630169429769,5
"Fresno",1985,577300,4,0.0221077624171868,4,2.41263083200284,4
"Fresno",1986,588300,4,0.0219991025353377,4,1.90542179109648,4
"Fresno",1987,601300,4,0.0219548707463123,4,2.20975692673806,4
"Fresno",1988,618400,4,0.0220377035743559,4,2.84383835024114,5
"Fresno",1989,638500,4,0.0221924854888603,4,3.2503234152652,5
"Fresno",1990,661400,4,0.0223763448135868,4,3.58653093187157,5
"Fresno",1991,682755,4,0.0226501154226832,5,3.22875718173571,5
"Fresno",1992,705720,4,0.0229704145409247,5,3.36357844321902,5
"Fresno",1993,723413,4,0.0232229453215081,5,2.50708496287479,5
"Fresno",1994,735807,4,0.0234192178348474,5,1.71326752491315,3
"Fresno",1995,748424,5,0.0236709926095357,5,1.71471595132963,3
"Fresno",1996,761143,5,0.0239071979466664,5,1.69943775186258,3
"Fresno",1997,770597,5,0.0239257369060958,5,1.24207934645658,2
"Fresno",1998,777563,5,0.0238093553968618,5,0.903974450977619,1
"Fresno",1999,785020,5,0.0236874392572219,5,0.95902196992398,1
"Fresno",2000,796187,5,0.0236106057061437,5,1.4225115283687,2
"Fresno",2001,808611,5,0.0236044014516363,5,1.56043743492421,3
"Fresno",2002,821809,5,0.0236658542381343,5,1.63218160524653,3
"Fresno",2003,837256,5,0.0238102977427601,5,1.87963383219215,4
"Fresno",2004,853057,5,0.0239819141782033,5,1.88723640081409,4
"Fresno",2005,866058,5,0.0241449112863572,5,1.52404821717658,3
"Fresno",2006,879128,5,0.0243416514283534,5,1.50913680146133,2
"Fresno",2007,893088,5,0.0245356030092136,5,1.58793713770918,3
"Fresno",2008,906521,5,0.0246979004546461,5,1.50410709806872,2
"Fresno",2009,918560,5,0.0248483006860794,5,1.32804424828548,2
"Fresno",2010,929758,5,0.0249774472852119,5,1.21908204145619,2
"Fresno",2011,938524,5,0.0250027473014174,5,0.942825982675062,1
"Fresno",2012,947615,5,0.0250153393396124,5,0.968648644041069,1
"Fresno",2013,955989,5,0.0250002307840746,5,0.8836922167758,1
"Fresno",2014,964467,5,0.0250072736189335,5,0.886830287796199,1
"Fresno",2015,974871,5,0.0250560288387561,5,1.07873053199332,2
"Fresno",2016,984541,5,0.0250800879959827,5,0.991926111249591,1
"Glenn",1981,21750,2,0.000904779732933982,2,NA,NA
"Glenn",1982,22100,1,0.000900313683953233,1,1.60919540229885,5
"Glenn",1983,22450,1,0.000895278353804435,1,1.58371040723982,5
"Glenn",1984,22650,1,0.000885215148317505,1,0.89086859688196,4
"Glenn",1985,22750,1,0.000871213571784169,1,0.441501103752759,3
"Glenn",1986,22950,1,0.00085820058335203,1,0.879120879120879,4
"Glenn",1987,23000,1,0.000839783846940266,1,0.217864923747277,1
"Glenn",1988,23250,1,0.000828552082962118,1,1.08695652173913,4
"Glenn",1989,23850,1,0.000828959716381078,1,2.58064516129032,5
"Glenn",1990,24550,1,0.000830570403951553,1,2.93501048218029,5
"Glenn",1991,25073,1,0.000831786429968197,1,2.13034623217923,5
"Glenn",1992,25537,1,0.000831201434182953,1,1.85059625892394,5
"Glenn",1993,25836,1,0.000829385171854091,1,1.17085013901398,5
"Glenn",1994,25921,1,0.000825011919561895,1,0.328998296949992,2
"Glenn",1995,26161,1,0.00082741445712332,1,0.925890204853208,4
"Glenn",1996,26370,1,0.000828271178810807,1,0.798899124651198,3
"Glenn",1997,26404,1,0.000819799658276057,1,0.128934395145999,1
"Glenn",1998,26393,1,0.00080816643408878,1,-0.0416603544917437,1
"Glenn",1999,26315,1,0.000794037048806137,1,-0.295532906452468,1
"Glenn",2000,26405,1,0.000783029669751862,1,0.342010260307809,2
"Glenn",2001,26584,1,0.000776021360320724,1,0.677901912516569,3
"Glenn",2002,26702,1,0.000768944657294653,1,0.44387601564851,3
"Glenn",2003,26974,1,0.000767099873053417,1,1.01865028836791,4
"Glenn",2004,27210,1,0.000764952265544872,1,0.874916586342404,4
